Type,Name,Address,Lat,Long,Image,NYPL
Hotel,Allen,"1123 South Central Ave., Los Angeles, California, United States",34.0304349,-118.2451066,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b928
Hotel,Cark,"1818 24 South Central Ave., Los Angeles, California, United States",34.0248686,-118.250171,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b929
Hotel,Dunbar,"4025 South Central Ave., Los Angeles, California, United States",34.0102339,-118.256882,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b930
Hotel,Elite,"1217 South Central Ave., Los Angeles, California, United States",34.0300306,-118.245383,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b931
Hotel,Lincoln,"549 Ceres Ave., Los Angeles, California, United States",34.040432,-118.241163,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b932
Tourist Home,Mrs. B Hoffman,"760 W. 17th St., Los Angeles, California, United States",33.7289858,-118.2937575,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b933
Tourist Home,Mrs. S. H. Grier,"1121 East 22nd St. , Los Angeles, California, United States",34.0231617,-118.2547309,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b934
Tourist Home,Mrs. W. D. Grealoiu,"1311 West 35 place, Los Angeles, California, United States",34.0238859,-118.2978779,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b935
Service Station,The Relay,"Central Ave. at 28th St., Los Angeles, California, United States",34.0167478,-118.2557795,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b936
Service Station,Lewis & Hayess,"3426 South Central Ave., Los Angeles, California, United States",34.012127,-118.2565163,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b937
Tavern,Marble Inn,"1820 Imperial Highway, Los Angeles, California, United States",33.9309055,-118.3096874,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b938
Beauty Parlor,Mrs. A. B. Dunbar,"906 East 54th St., Los Angeles, California, United States",33.9932214,-118.259722,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b939
Liquor Store,House of Morgan,"2729 South Central Ave., Los Angeles, California, United States",34.0170262,-118.2558364,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/911d3420-83da-0132-687a-58d385a7b940
